Name,new_Name,geo_loc
Banashankari,Bangalore Banashankari,
Basavanagudi,Bangalore Basavanagudi,
Mysore Road,Bangalore Mysore Road,
Jayanagar,Bangalore Jayanagar,
Kumaraswamy Layout,Bangalore Kumaraswamy Layout,
Rajarajeshwari Nagar,Bangalore Rajarajeshwari Nagar,
Vijay Nagar,Bangalore Vijay Nagar,
Uttarahalli,Bangalore Uttarahalli,
JP Nagar,Bangalore JP Nagar,
South Bangalore,Bangalore South Bangalore,
City Market,Bangalore City Market,
Bannerghatta Road,Bangalore Bannerghatta Road,
BTM,Bangalore BTM,
Kanakapura Road,Bangalore Kanakapura Road,
Bommanahalli,Bangalore Bommanahalli,
Electronic City,Bangalore Electronic City,
Wilson Garden,Bangalore Wilson Garden,
Shanti Nagar,Bangalore Shanti Nagar,
Koramangala 5th Block,Bangalore Koramangala 5th Block,
Richmond Road,Bangalore Richmond Road,
HSR,Bangalore HSR,
Koramangala 7th Block,Bangalore Koramangala 7th Block,
Bellandur,Bangalore Bellandur,
Sarjapur Road,Bangalore Sarjapur Road,
Marathahalli,Bangalore Marathahalli,
Whitefield,Bangalore Whitefield,
East Bangalore,Bangalore East Bangalore,
Old Airport Road,Bangalore Old Airport Road,
Indiranagar,Bangalore Indiranagar,
Koramangala 1st Block,Bangalore Koramangala 1st Block,
Frazer Town,Bangalore Frazer Town,
MG Road,Bangalore MG Road,
Brigade Road,Bangalore Brigade Road,
Lavelle Road,Bangalore Lavelle Road,
Church Street,Bangalore Church Street,
Ulsoor,Bangalore Ulsoor,
Residency Road,Bangalore Residency Road,
Shivajinagar,Bangalore Shivajinagar,
Infantry Road,Bangalore Infantry Road,
St. Marks Road,Bangalore St. Marks Road,
Cunningham Road,Bangalore Cunningham Road,
Race Course Road,Bangalore Race Course Road,
Commercial Street,Bangalore Commercial Street,
Vasanth Nagar,Bangalore Vasanth Nagar,
Domlur,Bangalore Domlur,
Koramangala 8th Block,Bangalore Koramangala 8th Block,
Ejipura,Bangalore Ejipura,
Jeevan Bhima Nagar,Bangalore Jeevan Bhima Nagar,
Old Madras Road,Bangalore Old Madras Road,
Seshadripuram,Bangalore Seshadripuram,
Kammanahalli,Bangalore Kammanahalli,
Koramangala 6th Block,Bangalore Koramangala 6th Block,
Majestic,Bangalore Majestic,
Langford Town,Bangalore Langford Town,
Central Bangalore,Bangalore Central Bangalore,
Brookefield,Bangalore Brookefield,
"ITPL Main Road, Whitefield","Bangalore ITPL Main Road, Whitefield",
"Varthur Main Road, Whitefield","Bangalore Varthur Main Road, Whitefield",
Koramangala 2nd Block,Bangalore Koramangala 2nd Block,
Koramangala 3rd Block,Bangalore Koramangala 3rd Block,
Koramangala 4th Block,Bangalore Koramangala 4th Block,
Koramangala,Bangalore Koramangala,
Hosur Road,Bangalore Hosur Road,
RT Nagar,Bangalore RT Nagar,
Banaswadi,Bangalore Banaswadi,
North Bangalore,Bangalore North Bangalore,
Nagawara,Bangalore Nagawara,
Hennur,Bangalore Hennur,
Kalyan Nagar,Bangalore Kalyan Nagar,
HBR Layout,Bangalore HBR Layout,
Rammurthy Nagar,Bangalore Rammurthy Nagar,
Thippasandra,Bangalore Thippasandra,
CV Raman Nagar,Bangalore CV Raman Nagar,
Kaggadasapura,Bangalore Kaggadasapura,
Kengeri,Bangalore Kengeri,
Sankey Road,Bangalore Sankey Road,
Malleshwaram,Bangalore Malleshwaram,
Sanjay Nagar,Bangalore Sanjay Nagar,
Sadashiv Nagar,Bangalore Sadashiv Nagar,
Basaveshwara Nagar,Bangalore Basaveshwara Nagar,
Rajajinagar,Bangalore Rajajinagar,
Yeshwantpur,Bangalore Yeshwantpur,
New BEL Road,Bangalore New BEL Road,
West Bangalore,Bangalore West Bangalore,
Magadi Road,Bangalore Magadi Road,
Yelahanka,Bangalore Yelahanka,
Sahakara Nagar,Bangalore Sahakara Nagar,
Jalahalli,Bangalore Jalahalli,
Hebbal,Bangalore Hebbal,
Nagarbhavi,Bangalore Nagarbhavi,
Peenya,Bangalore Peenya,
KR Puram,Bangalore KR Puram,
